architecture,preproc_variant,val_subject,f1,hp_trial
ANN,1,1,0.5449818455944688,trial_04
ANN,1,2,0.754439849674564,trial_04
ANN,1,3,0.6208575138037076,trial_04
ANN,1,4,0.6609063790038268,trial_04
ANN,1,5,0.6864481806102468,trial_04
ANN,1,6,0.5678590214073377,trial_04
ANN,1,7,0.6033225132707024,trial_04
ANN,1,8,0.7339424888942385,trial_04
ANN,1,9,0.7004733707699686,trial_04
ANN,1,10,0.784638229590735,trial_04
ANN,1,11,0.4618184337238457,trial_04
ANN,2,1,0.5284353741496598,trial_08
ANN,2,2,0.6522754003285839,trial_08
ANN,2,3,0.6576880221903549,trial_08
ANN,2,4,0.6247089017262863,trial_08
ANN,2,5,0.6868375600303311,trial_08
ANN,2,6,0.59347369280585,trial_08
ANN,2,7,0.6542206496359155,trial_08
ANN,2,8,0.7482095143818308,trial_08
ANN,2,9,0.6798273716769966,trial_08
ANN,2,10,0.7181559499128102,trial_08
ANN,2,11,0.3780277970387049,trial_08
ANN,3,1,0.38673489057188704,trial_13
ANN,3,2,0.21930811269698097,trial_13
ANN,3,3,0.20978214987061133,trial_13
ANN,3,4,0.4874552387267904,trial_13
ANN,3,5,0.23859792002682348,trial_13
ANN,3,6,0.20621312014516366,trial_13
ANN,3,7,0.4795227358327311,trial_13
ANN,3,8,0.4831958009087586,trial_13
ANN,3,9,0.4858659291344407,trial_13
ANN,3,10,0.4710508550300669,trial_13
ANN,3,11,0.24902215599136152,trial_13
