architecture,preproc_variant,val_subject,f1,hp_trial
LSTM_STFT,1,1,0.7309281118142943,trial_10
LSTM_STFT,1,2,0.5504018779962176,trial_10
LSTM_STFT,1,3,0.37489061442794086,trial_10
LSTM_STFT,1,4,0.6437514130414328,trial_10
LSTM_STFT,1,5,0.5331001077642711,trial_10
LSTM_STFT,1,6,0.6543502551059573,trial_10
LSTM_STFT,1,7,0.5421588254069583,trial_10
LSTM_STFT,1,8,0.3662985410565137,trial_10
LSTM_STFT,1,9,0.48423487513730373,trial_10
LSTM_STFT,2,1,0.5540747493038821,trial_00
LSTM_STFT,2,2,0.5329709191723424,trial_00
LSTM_STFT,2,3,0.492074209873993,trial_00
LSTM_STFT,2,4,0.5061431193194822,trial_00
LSTM_STFT,2,5,0.49010975459366135,trial_00
LSTM_STFT,2,6,0.49172956804060847,trial_00
LSTM_STFT,2,7,0.520059919784095,trial_00
LSTM_STFT,2,8,0.3754417044595616,trial_00
LSTM_STFT,2,9,0.4863841299216065,trial_00
LSTM_STFT,3,1,0.7531037163517943,trial_00
LSTM_STFT,3,2,0.6512311762311762,trial_00
LSTM_STFT,3,3,0.7145846768998608,trial_00
LSTM_STFT,3,4,0.7196219763123557,trial_00
LSTM_STFT,3,5,0.7178424421289007,trial_00
LSTM_STFT,3,6,0.7240833030384224,trial_00
LSTM_STFT,3,7,0.631429968936487,trial_00
LSTM_STFT,3,8,0.4405454260593344,trial_00
LSTM_STFT,3,9,0.5266753027245445,trial_00
