architecture,preproc_variant,val_subject,f1,hp_trial
LSTM,1,1,0.4902854511970534,trial_14
LSTM,1,2,0.48916354649062305,trial_14
LSTM,1,3,0.4914231749734232,trial_14
LSTM,1,4,0.6421502740881299,trial_14
LSTM,1,5,0.5592172957878822,trial_14
LSTM,1,6,0.5597075984746667,trial_14
LSTM,1,7,0.5542583971172308,trial_14
LSTM,1,8,0.37212234367574176,trial_14
LSTM,1,9,0.4874319724492583,trial_14
LSTM,2,1,0.7236820741916976,trial_02
LSTM,2,2,0.4890107320435189,trial_02
LSTM,2,3,0.4919912187982763,trial_02
LSTM,2,4,0.47841699671686905,trial_02
LSTM,2,5,0.49016757837812946,trial_02
LSTM,2,6,0.49224996990519726,trial_02
LSTM,2,7,0.48873459873459874,trial_02
LSTM,2,8,0.32065712771595123,trial_02
LSTM,2,9,0.49041554781591473,trial_02
LSTM,3,1,0.49045573848723456,trial_05
LSTM,3,2,0.48928674711465153,trial_05
LSTM,3,3,0.4909238793637678,trial_05
LSTM,3,4,0.4824631834560551,trial_05
LSTM,3,5,0.4887671289247356,trial_05
LSTM,3,6,0.4923177987559362,trial_05
LSTM,3,7,0.407913587490596,trial_05
LSTM,3,8,0.2977348848908482,trial_05
LSTM,3,9,0.48996207590798546,trial_05
