architecture,preproc_variant,val_subject,f1,hp_trial
ANN_STFT,1,1,0.43939237337409354,trial_03
ANN_STFT,1,2,0.6664258582650623,trial_03
ANN_STFT,1,3,0.5627734249366447,trial_03
ANN_STFT,1,4,0.6245418559640028,trial_03
ANN_STFT,1,5,0.5673657050317327,trial_03
ANN_STFT,1,6,0.3781472502656748,trial_03
ANN_STFT,1,7,0.5567194495958033,trial_03
ANN_STFT,1,8,0.5785079986238927,trial_03
ANN_STFT,1,9,0.6500741176318154,trial_03
ANN_STFT,1,10,0.5638878787878787,trial_03
ANN_STFT,1,11,0.44789345041867906,trial_03
ANN_STFT,2,1,0.5278024007386889,trial_14
ANN_STFT,2,2,0.7131252560583495,trial_14
ANN_STFT,2,3,0.6234047062830712,trial_14
ANN_STFT,2,4,0.6162191572989695,trial_14
ANN_STFT,2,5,0.6480445618729662,trial_14
ANN_STFT,2,6,0.6163867024428412,trial_14
ANN_STFT,2,7,0.6295112389741545,trial_14
ANN_STFT,2,8,0.6764998153233448,trial_14
ANN_STFT,2,9,0.6786447653332703,trial_14
ANN_STFT,2,10,0.6384571083694633,trial_14
ANN_STFT,2,11,0.4250166086717474,trial_14
ANN_STFT,3,1,0.5701817150079315,trial_04
ANN_STFT,3,2,0.6969448668178932,trial_04
ANN_STFT,3,3,0.6868580034927424,trial_04
ANN_STFT,3,4,0.649487286413892,trial_04
ANN_STFT,3,5,0.6272560087991594,trial_04
ANN_STFT,3,6,0.44841830963154494,trial_04
ANN_STFT,3,7,0.6320281605888747,trial_04
ANN_STFT,3,8,0.6946299704884856,trial_04
ANN_STFT,3,9,0.6834760550050849,trial_04
ANN_STFT,3,10,0.7464966764379829,trial_04
ANN_STFT,3,11,0.46265660115456503,trial_04
ANN,1,1,0.5449818455944688,trial_04
ANN,1,2,0.754439849674564,trial_04
ANN,1,3,0.6208575138037076,trial_04
ANN,1,4,0.6609063790038268,trial_04
ANN,1,5,0.6864481806102468,trial_04
ANN,1,6,0.5678590214073377,trial_04
ANN,1,7,0.6033225132707024,trial_04
ANN,1,8,0.7339424888942385,trial_04
ANN,1,9,0.7004733707699686,trial_04
ANN,1,10,0.784638229590735,trial_04
ANN,1,11,0.4618184337238457,trial_04
ANN,2,1,0.5284353741496598,trial_08
ANN,2,2,0.6522754003285839,trial_08
ANN,2,3,0.6576880221903549,trial_08
ANN,2,4,0.6247089017262863,trial_08
ANN,2,5,0.6868375600303311,trial_08
ANN,2,6,0.59347369280585,trial_08
ANN,2,7,0.6542206496359155,trial_08
ANN,2,8,0.7482095143818308,trial_08
ANN,2,9,0.6798273716769966,trial_08
ANN,2,10,0.7181559499128102,trial_08
ANN,2,11,0.3780277970387049,trial_08
ANN,3,1,0.38673489057188704,trial_13
ANN,3,2,0.21930811269698097,trial_13
ANN,3,3,0.20978214987061133,trial_13
ANN,3,4,0.4874552387267904,trial_13
ANN,3,5,0.23859792002682348,trial_13
ANN,3,6,0.20621312014516366,trial_13
ANN,3,7,0.4795227358327311,trial_13
ANN,3,8,0.4831958009087586,trial_13
ANN,3,9,0.4858659291344407,trial_13
ANN,3,10,0.4710508550300669,trial_13
ANN,3,11,0.24902215599136152,trial_13
LSTM,1,1,0.5429277758863946,trial_05
LSTM,1,2,0.7317157132431078,trial_05
LSTM,1,3,0.6459939517551094,trial_05
LSTM,1,4,0.6478728401343608,trial_05
LSTM,1,5,0.6701186618028385,trial_05
LSTM,1,6,0.5473670529748741,trial_05
LSTM,1,7,0.5870803818909762,trial_05
LSTM,1,8,0.580693041829497,trial_05
LSTM,1,9,0.6476229451143874,trial_05
LSTM,1,10,0.6291590155062602,trial_05
LSTM,1,11,0.4396805710392667,trial_05
LSTM,2,1,0.4105507086553484,trial_05
LSTM,2,2,0.5630453198156897,trial_05
LSTM,2,3,0.4895800384235043,trial_05
LSTM,2,4,0.48968667108753317,trial_05
LSTM,2,5,0.5960789763284373,trial_05
LSTM,2,6,0.47920341139961153,trial_05
LSTM,2,7,0.48582261029411766,trial_05
LSTM,2,8,0.4923391643153331,trial_05
